E,LDOS
 -0.72906666666666675      ,   9.0619861728219536E-002
 -0.72853333333333337      ,   9.0803701600666364E-002
 -0.72800000000000009      ,   9.0988191582483724E-002
 -0.72746666666666671      ,   9.1173334958567373E-002
 -0.72693333333333343      ,   9.1359135035328054E-002
 -0.72640000000000005      ,   9.1545595140863828E-002
 -0.72586666666666666      ,   9.1732718625134921E-002
 -0.72533333333333339      ,   9.1920508860139166E-002
 -0.72480000000000000      ,   9.2108969240090724E-002
 -0.72426666666666673      ,   9.2298103181597924E-002
 -0.72373333333333334      ,   9.2487914123845813E-002
 -0.72320000000000007      ,   9.2678405528777388E-002
 -0.72266666666666668      ,   9.2869580881279987E-002
 -0.72213333333333340      ,   9.3061443689370013E-002
 -0.72160000000000002      ,   9.3253997484381873E-002
 -0.72106666666666674      ,   9.3447245821157446E-002
 -0.72053333333333336      ,   9.3641192278238181E-002
 -0.72000000000000008      ,   9.3835840458058678E-002
 -0.71946666666666670      ,   9.4031193987141826E-002
 -0.71893333333333342      ,   9.4227256516296681E-002
 -0.71840000000000004      ,   9.4424031720816648E-002
 -0.71786666666666665      ,   9.4621523300682256E-002
 -0.71733333333333338      ,   9.4819734980762863E-002
 -0.71679999999999999      ,   9.5018670511022585E-002
 -0.71626666666666672      ,   9.5218333666727398E-002
 -0.71573333333333333      ,   9.5418728248653689E-002
 -0.71520000000000006      ,   9.5619858083299897E-002
 -0.71466666666666667      ,   9.5821727023099990E-002
 -0.71413333333333340      ,   9.6024338946638033E-002
 -0.71360000000000001      ,   9.6227697758866748E-002
 -0.71306666666666674      ,   9.6431807391325841E-002
 -0.71253333333333335      ,   9.6636671802364793E-002
 -0.71200000000000008      ,   9.6842294977365698E-002
 -0.71146666666666669      ,   9.7048680928971051E-002
 -0.71093333333333342      ,   9.7255833697310626E-002
 -0.71040000000000003      ,   9.7463757350232647E-002
 -0.70986666666666665      ,   9.7672455983536743E-002
 -0.70933333333333337      ,   9.7881933721209194E-002
 -0.70880000000000010      ,   9.8092194715660608E-002
 -0.70826666666666671      ,   9.8303243147965583E-002
 -0.70773333333333333      ,   9.8515083228105191E-002
 -0.70720000000000005      ,   9.8727719195212033E-002
